гэж	as,that
шалгах	check
тоглоом	game
тэнцэхгүй	equate
өнгөрөөх	miss
авчирсан	brought
дулаан	heat,warm,warm
цас	snow
авчрах	bring
хэрэв тийм бол	yes
холын	distant
бөглөх	fill
будаг	paint
хэл	language, tongue
дунд	adj. among, middle, satisfactory
нэгж	unit
эрчим хүч	power
нарийн	fine, thin
тодорхой	certain,clear
ялаа	fly
унах	fall,to fall
хүргэдэг	lead
хашхирах	cry
харанхуй	dark
машин	machine,car
тэмдэглэл	note
хүлээх	wait,to wait
төлөвлөгөө	plan
од	star
хайрцаг	box
нэр үг	noun
талбар	field
зөв	correct,proper
боломжтой	able
фунт	pound
хийгдсэн	done
гоо сайхан	beauty
хөтөч	drive
зогсов	stood
агуулсан	contain
заах	teach,to teach
долоо хоног	week
өгсөн	gave
ногоон	green
өө	oh
хурдан	quick
боловсруулах	develop
далай	ocean
чөлөөт	free
минут	minute
хүчтэй	strong
тусгай	special
оюун ухаан	mind
ард	behind
сүүл	tail
үйлдвэрлэх	produce
орон зай	space
сонслоо	heard
хамгийн сайн	best
үнэн	true
зуун	hundred
таван	five
санаж	remember
эрт	early
баруун тийш	west
газрын	ground
хүрэх	reach,to touch
үйл үг	verb
дуулах	sing,to sing
сонсох	listen,to listen
зургаан	six
хүснэгт	table
аялал жуулчлалын	travel
өглөө	morning
арван	ten
хэд хэдэн	several
эгшиг	vowel
рүү	toward
дайн	war
эсрэг	against,opposite
хэв маяг	pattern
удаан	slow
төв	center
хайр	love,favor
мөнгө	money
үйлчлэх	serve,to serve
гарч ирэх	appear
авто зам	road
газрын зураг	map
бороо	rain
дүрэм	rule
удирдах	govern
татах	pull
хүйтэн	cold
мэдээлэл	notice
дуу хоолой	voice
эрчим хүчний	energy
ан	hunt
магадлалтай	probable
ор	bed
ах дүү	brother
өндөг	egg
эсийн	cell
гэдэгт итгэдэг	believe
магадгүй	perhaps
гэнэт	sudden
дөрвөлжин	square
төлөөлөх	represent
урлаг	art
хичээл	subject
бүс нутаг	region
хэмжээ	size,deal
барагдуулах	settle
үг хэлэх	speak
жин	weight
ерөнхий	general,chief
мөс	ice
тойрог	circle
хос	pair
оруулах	include
хуваагдал	divide
үет	syllable
эсгий	felt
их	grand,a lot of
бөмбөг	ball
одоогоор	yet
долгионы	wave
унагаах	drop
зүрхний	heart
өнөөгийн	present
хүнд	heavy
бүжгийн	dance
хөдөлгүүр	engine
албан тушаал	position
өргөн	wide,broad
онгоцны далбаа	sail
материал	material
ой	forest
суух	sit,to sit
уралдаан	race
цонх	window
дэлгүүр	store,shop,stores,electronics store,antique shop
зуны	summer
галт тэрэг	train
унтах	sleep,to sleep
нотлох	prove
цорын ганц	lone
хөлөө	leg
дасгал	exercise
ханын	wall
холбох	mount,connect
хүсвэл	wish
тэнгэр	sky
туз-ийн	board
баяр хөөр	joy
өвөл	winter
орохдоо	sat
бичсэн	written,wrote
зэрлэг	wild
арга хэрэгсэл	instrument,tool
хадгалах	kept,save
шилэн	glass
өвс	grass
үнээ	cow
зах	edge,market
айлчлал	visit
зөөлөн	soft,gentle
хөгжилтэй	fun
гэрэл гэгээтэй	bright
хий	gas
цаг агаар	weather
сарын	month
сая	million
үүрэх	bear
барианы	finish
аз жаргалтай	happy
гэдэгт найдаж байна	hope
цэцэг	flower
хувцаслан	clothe
хачин	strange
илааршсан	gone
гадаад худалдааны	trade
аялгуу	melody
аялал	trip,hiking
оффис	office
хүлээн авах	receive
эгнээ	row
агшин	mouth
яг	exact,quite
үхэх	die
наад зах	least
гай	trouble
орө	shout
үрийн	seed
ая	tone
нэгдэхийг	join
санал болгож байна	suggest
цэвэр	clean
завсарлага	break
эмэгтэй	lady,woman
талбай	yard,squire
босох	rise,to get up
муу	bad
цохилт	blow
газрын тос	oil
цусны	blood
өссөн	grew,rose
хувь	cent
холино	mix
баг	team
утас	wire,thread
зардал	cost
алдагдсан	lost
бор	brown
өмсөж	wear
цэцэрлэг	garden
тэнцүү	equal
илгээсэн	sent
сонгох	choose,to choose
буурсан	fell
таарах	fit,to fit
шударга	fair
банк	bank
цуглуулах,	collect
хяналтын	control
аравтын	decimal
чихний	ear
эвдсэн	broke
хэрэг	case
алах	kill
мөч	moment
хэмжээний	scale
чанга	loud
хавар	spring
ажиглах	observe
хүүхэд	child,baby
шулуун	straight
гийгүүлэгч	consonant
ончтой үр дүн	dictionary
сүү	milk
хурд	speed
арга	method
төлөх	pay,to pay
нас	age
хувцас	dress,clothes
үүл	cloud
гайхуулах	surprise
нам гүм	quiet
чулуу	stone
жижигхэн	tiny
өсөх	climb
сэрүүн	cool
зураг төсөл	design
ядуу	poor
туршилт	experiment
доод	bottom
гол	key,stream,major,river
төмрийн	iron
хавтгай	flat
хорин	twenty
арьс	skin
инээмсэглэл	smile
уртасгахад	crease
нүх	hole
үсрэх	jump,to jump
найман	eight
тосгон	village
хангасан	meet
эх	root,original
худалдан авах	buy,to buy
өсөлт	raise
шийдвэрлэх	solve
металл	metal
эсэх	whether
түлхэх	push
долоон	seven
догол	paragraph
гурав дахь	third
болно	shall
зохион байгуулав	held
үс	hair
тайлбарлах	describe,to explain
тогооч	cook,cook/chef
шал	floor
аль нэг	either
үр дүн	result
шарах	burn
толгой	hill,head
аюулгүй	safe
муур	cat
зууны	century
авч үзэх	consider
хууль	law
эрэг	coast,shore
хуулбар	copy
чимээгүй	silent
элс,	sand
хөрс	soil
өнхрөх	roll
температур	temperature
хуруу	finger
аж үйлдвэрийн	industry
үнэ цэнэ	value
тэмцэл	fight
худал	lie
зодож	beat
сэтгэл татна	excite
байгалийн	natural
мэдрэмж	sense
капитал	capital
тийм юм байхгүй	won’t
аюул	danger
жимс	fruit
баян	rich
зузаан	thick
цэрэг	soldier
үйл явц	process
үйл ажиллагаа явуулах	operate
практик	practice
тус тусад	separate
хүнд хэцүү	difficult
эмч,	doctor
үү	please
хамгаалах,	protect
үд	noon
газар тариалан	crop
орчин үеийн	modern
элемент	element
хит	hit
оюутан	student
булангийн	corner
нам	party
хангамж	supply
бөгж	ring
тэмдэгт	character
шавьж	insect,insects
татлаа	caught
хугацаа	period
харуулж байна	indicate
радио	radio
ярьсан	spoke
атомын	atom
хүний	human
үр нөлөө	effect
цахилгаан	electric,lightening/bolt
найдах	expect
ясны	bone
төмөр замын	rail
төсөөлж	imagine
санал нэгтэй	agree
ийн	thus
ахмад	captain
таах	guess,to guess
шаардлагатай	necessary,require
хурц	sharp
жигүүр	wing
бий болгох	create
хөрш	neighbor
угаалгын	wash
бат	bat
олон хүн	crowd
эрдэнэ шиш	corn
харьцуулах	compare
шүлэг	poem
хонх	bell
хамааралтай	depend
мах	meat
урэх	rub
хоолой	tube
алдартай	famous
доллар	dollar
айдас	fear
нүдний хараа	sight
нимгэн	thin
гурвалжин	triangle
гариг	planet
яарах	hurry
колони	colony
уул уурхайн	mine
зангиа	tie
оруул	enter
хайлт	search
илгээх	send
шар	yellow
буу	gun
боломж олгох	allow
хэвлэх	print
нас барсан	dead
спот	spot
цөлийн	desert
нэхэмжлэл	suit,claim
одоогийн	current
өргөгч	lift
мастер	master
зам	track,path,road
эцэг, эх	parent
хэлтэс	division
бодис	substance
дараах	post
зарцуулах	spend
хөвч	chord
өөх	fat
баяртай	glad
эзлэх хувь	share
талх	bread
үнэ	charge,price
бар	bar,tiger
санал болгох	offer
боол	slave
нугас	duck
шуурхай	instant
зах зээлийн	market
нутагшуулах	populate
дэгдээхэйн	chick
хайрт	dear
дайсан	enemy
хариулах	reply,to answer
ундаа	drink,beverages,soda
тохиолддог	occur
дэмжлэг үзүүлэх	support
хэл яриа	speech
мөн чанар	nature
хүрээ	range
уурын	steam
хөдөлгөөн	motion
шингэн	liquid
гуалин	log
коэффицентийг	quotient
шүд	teeth,tooth
бүрхүүл	shell
хүзүү	neck
хүчилтөрөгчийн	oxygen
элсэн чихэр	sugar
үхэл	death
нэлээн	pretty
ур чадвар	skill
эмэгтэйчүүд	women
улирал	season
үүний шийдэл	solution
соронз	magnet
мөнгөн	silver
талархлын	thank
салбар	branch
хүсч байгаа эд зүйлс	match
дагавар	suffix
ялангуяа	especially,particular
инжрийн	fig
айдаг	afraid
асар их	huge
эгч	sister
ган	steel
хэлэлцэх	discuss
урагш	forward
ижил төстэй	similar
чиглүүлэх	guide
туршлага	experience
оноо	score
алим	apple
худалдан авсан	bought
удирдуулсан	led
давирхай	pitch
цув	coat,rain coat
олон нийтийн	mass
карт	card
хамтлаг	band
олс	rope
хожил	win
мөрөөдөж	dream
орой	evening
нөхцөл байдал	condition
малын тэжээл	feed
нийт	total
үнэр	smell
хөндий	valley
ч	nor
давхар	double
суудал	seat
үргэлжлүүлэх	continue
блок	block
малгай	hat
борлуулах	sell
амжилт	success
компани	company
хасах	subtract
үйл явдал	event
усанд сэлж	swim
эхнэр	wife
гутал	shoe,boots
мөрөн	shoulder
тархах	spread
зохион байгуулах	arrange
бааз	camp
зохион бүтээх	invent
хөвөн	cotton
төрөлхийн	born
тодорхойлох	determine
есөн	nine
ачааны машин	truck
дуу чимээ	noise
түвшин	level
боломж	chance
цуглуулах	gather
сунгах	stretch
хаях	throw
үл хөдлөх хөрөнгийн	property
багана	column
молекул	molecule
буруу	wrong
саарал	gray
давтан	repeat
бэлтгэх	prepare
давс	salt
хамар	nose
олон тооны	plural
уур хилэн	anger
тив	continent
бүр	n. everyone
сайхан	adj. nice,fine/nice
урьд	prep. before
тогтох	v. determine
өмгөр	adj. very narrow
нэгэн	art. a/an
өвгөн	n. old man
эмгэн	n. old woman
чинээ	n. size
энх	adj. peaceful
эрүүл	adj. healthy
саруул	adj. clear,lucent,serenity
амьдрах	v. to live,to live
гэх	v. to say
зовлон	n. suffering
гараа	n. starting point
муудах	v. to decay
хаяанд	prep. nearby
хөөрхий	adj. pitiful
дуудах	v. to call,to call out
хажуу	prep. edge,side
хүүхэлдэй	n. doll
сонс	interj. i say!
хэн	pron. who
битгий	do not
үзүүлэх	v. to show
хэрвээ	conjunc. if
чамд	pron. you
тохиолдох	v. to occur
хооллох	v. to feed
яах	adv. how
зөвлөх	v. to suggest
сэтгэл	n. spirit
ингэх	in this way/manner
үнсэх	v. to kiss,to kiss
нас барах	v. to die,to die
харамсан	adv. pitifully
гашуудах	v. to grieve
нэлээд	adv. much
удсан	adj. mature, stale
авгай	n. aged woman
ууртай	adj. angry
чинь	pron. me
догшин	adj. fierce
зантай	adj. grumpy
хорон	adj. mischievous
хойт	adj. step-(family member) e.g. step-parent
хорлох	v. to hurt
хорлонтой	adj. evil
цамаан	adj. fastidious
үлдэх	v. continue,remain,to stay
хорогдох	v. crouch,dwindle,escape,linger
эцэг	n. parent,father
гандах	v. crumble,wilt,wither
галлах	v. fire (to burn?)
зуух	v. to bake, bite,stove
зөөх	v. to carry,transfer,to carry
цэвэрлэх	v. to clean,to clean
шан	n. compensation,fee
сүүдэр	n. shade
тайвшруулах	v. to appease,console
уух	v. to drink,to drink
амсах	v. to sample,savor
уулга	n. yell,cry
байгаа	adj. existent
түгжих	v. to lock, fasten
дотроо	prep. inwards
пин	n. barn
саах	v. to milk
гэгч	adj. so-called
өнөөх	v. inherent
болгох	v. to convert,render
болгон	adj. every
үзэсгэлэнтэй	n. beauty, loveliness
хэлшгүй	adj. unspeakable
үлгэр	n. fable, fairytale
улам	adj. more
төрөх	v. to give birth,to be born
төрүүлэх	v. to generate
цаана	adj. beyond,farther
хав	n. doggy
усан	adj. aquatic
цутгах	v. to cast, flood, stream
салхи	n. wind,wind/breeze
шуугих	v. jangle, fizz, clutter
намар	n. autumn,autumn
эргэ	n. precipice, steep rock or cliff
тойрох	v. to beset, circle
сүг	n. apparition, ghost
тор	n. cage, mesh, net
нэхэх	v. to weave, chase
нөгөө	adj. other
оймс	n. footgear, stockings,socks
ээрэх	v. to falter, hesitate, to spin
оноох	v. to appoint, impose, mete
тэгээд	adv. then
охид	n. girl, sister
ажиллах	v. to do, get, work,to work
ганц	adj. lone single
баллуур	eraser
гэрийн даалгавар	homework
дэвтэр	notebook
маш	very
онц	excellent
самбар	white board
сандал	chair
спорт заап	gym
сурагч ширээ	desk
толь бичиг	dictionary
үзүүрлэгч	sharpener
үзэг	pen
үсэг	letter
хавтас	cover/folder
харандаа	pencil
цавуу	glue
цагийн хуваарь	timetable of lesson
цэцгийн сав	flower pot
шалгалт	test
ширээ	table
шугам	ruler
эгшиг үсэг	vowel
хүнсний ногоо	vegetable
байцаа	cabbage
вандуй	peas
лууван	carrots
өргөст хэмх	cucumber
перец	black pepper
сонгино	onion
төмс	potato
улаан лууван	radish
улаан лооль	tomato
улаан манжин	beet
хулуу	pumpkin
чинжүү	green pepper
шар лууван	carrot
шош	beans
буурцаг	beans
шар манжин	turnip
амтат зүрж	orange
бөөрөлзгөнө	raspberry
бэрсүүт жүрж	tangerine
гадил	banana
гүзээлзгэнэ	strawberry
интоор	cherry
киви	kiwi
лийр	pear
нимбэг	lemon
нэрс	blueberry
тарвас	watermelon
тоор	peach
усан үзэм	grape
үзэм	raisin
хад	currant,госк
хан боргоцой	pineapple
чангаанз	apricot
чавга	plum
тариа	cereal
бялуу	cake/pie
бин	pancake
гамбир	pancake
гурил	flour
гоймон	noodles
жигнэмэг	biscuit/cookies
зуурсан гурил	dough
өрмөнцөр	waffle
үр тариа	grain
будаа	rice
амттан	spices
ёотон	lump suger/cube
мax	meat
адууны мах	horse meat
гахайн мах	pork
гахайн утсан мах	bacon
зайдас	hot dog
өндег	egg
тахианы мах	chicken
тарваганы мах	marmot
үхрийн мах	beef
хонины мах	mutton
хиам	sausage
хоол	meals
зууш	dessert/snack
оройн хоол	dinner
өдрийн хоол	lunch
өглөөний цай	breakfast
хээрийн хоол	picnic
шөл	soup
цагаан идээ	dairy products
бяслаг	cheese
зайрмаг	ice-cream
тараг	yogurt
хайлмаг	melted butter
цөцгийн тос	butter
цөцгий	cream
дарс	wine
жимсний шүүс	juice
кофе	coffee
цай	tea
шар айраг	beer
гал тогооны хэрэгсэл	kitchen utensils
аяга	bowl
будаа агшаагч	rice cooker
данх	kettle
дийз	saucer
махны машин	meat grinder
өндөг хагалагч	egg beater
сэрээ	fork
савх	chopstick
сэнжтэй аяга	cup
таг	lid/cover
таваг	plate
тогоо	potato
ус буцалгагч	water boiler
хайруулын таваг	frying pan/skillet
хутга	knife
холигч	mixer
халбага	spoon
хапуун сав	thermos
хундага	glass
шарагч	broiler
шанага	ladle
шүүр	strainer,broom
шарах шүүгээ	oven
агуулах	storage
эоорь	storage
алчуур	towel
аяганы шүүгээ	cupboard
буйдан	sofa
бие засах өрөө	restroom
галын өрөө	kitchen
гадаа жорлон	outhouse
граш	garage
зурагт	television/tv
дэр	pillow
дээвэр	ceiling
тааз	ceiling
жорлон	toilet
зочны өрөө	living room
зөөлөн сандал	armchair
индүү	iron
индүүний ширээ	ironing board
орны даавуу	sheets
оёдлын машин	sewing machine
паар	radiator
суурь	basement
тавилга	furniture
тагт	balcony
телефон утас	telephone
тоос сорогч	vacuum cleaner
түлхүүр	key
yraaryyp	sink
угаалгын машин	washing machine
угаалгын өрөө	bath/laundry room
унждаг чийдэн	light
усанд орох онгоц	bathtub
үүдний өрөө	hall
ширээний бүтээлэг	table cloth
ширээний чийдэн	lamp
шүршүүр	shower
хана	wall
ханын шүүгээ	closet
хашаа	yard
хивс	carpet/rug
хогийн гаргуул	dust pan
хоолны өрөө	dining room
хөгжим	tape recorder,music
хөнжил	blanket
хөргөгч	refrigerator/fridge
хөшиг	curtain
хүүхдийн өрөө	kid’s room
цонхны тавцан	window sill
шалны хулдаас	linoleum
яндан	chimney
булган малгай	sable hat
бүс	belt
бээлий	gloves
гутлын үдээс	shoe string
гэрийн шаахай	slippers
даашинз	dress
дотуур хувцас	briefs
дотуур цамц	t-shirt
жинс өмд	jeans
майк	undershirt
ноосон цамц	sweater
ороолт	scarf
өмд	pants/trousers
пальто	coat
пиджак	blazer
пүүз	sneakers/running shoes
татуурга	suspenders
тирко оймс	nylons/tights
шилэн оймс	nylons/tights
туфль	high heel shoes
тэлээ. бүс	belt
унтлаганы хувцас	night gown
урт оймс	stockings
усны хувцас	swim suit
халат	house dress
хантааз	vest
хормогч	apron
хослол	suit
хүрэм	jacket
эмэгтэй цамц	blouse
эрэгтэй цамц	shirt
шуба	fur coat
юбка	skirt
ax	brother
ач охин	niece
зээ охин	niece
ач хүү	nephew
зээ хүү	nephew
авга ах	uncle
нагац ах	uncle
бэр эгч	sister in law
бэр дүү	sister in law
нагац эгч	aunt
авга эгч	aunt
насанд хүрсэн хүн	adult
нөхөр	husband
өвөө	grandfather
үеэл	cousin
хамаатан садан	relatives
хүргэн ах	brother in law
хүргэн дүү	brother in law
эмэгтэй хүн	woman
эмэгтэй хүүхэд	girl
эмээ	grandmother
эрэгтэй хүн	man
эрэгтэй хүүхэд	boy
эцэгэх	parents
гаригууд	days of the week
даваа	monday
мягмар	tuesday
лхагва	wednesday
пүрэв	thursday
баасан	friday
бямба	saturday
ням	sunday
цаг хугацаа	time
ажлын өдөр	weekday
амралтын өдөр	weekend
дараа жил	next year
3 өдрийн өмнө	3 days ago
заримдаа	sometimes
ихэвчлэн	usually
маргааш	tomorrow
нар жаргасан орой	sunset
нар мандах үе	sunrise
нөгөөдөр	day after tomorrow
нэг цаг	hour
өчигдөр	yesterday
өдөр бүр	every day
өчигдөр орой	last night
cap	month
сарын дараа	after a month
уржигдар	day before yesterday
үдээс хойш	afternoon
үд дунд	noon
хараахан	yet
хоног	day/24 hours
2 жилийн өмнө	2 years ago
шөнө дунд	midnight
улиралууд	seasons
зун	summer
байгаль	nature
аянга	thunder
газар хедлелт	earthquake
ган гачиг	drought
зэрэглээ	mirage
манан	fog
мөндөр	hail
нуур	lake/pond
рашаан	spring
солонго	rainbow
уул	mountain
халуун хүйтэн	temperature
хунгар	drift
цан	frost
цасан шуурга	blizzard
шавхай	slush
шиврээ бороо	drizzle
шороо	soil
шуурга	storm
элс	sand
амьтад	animals
алаг тахь	zebra
анааш	giraffe
арслан	lion
баавгай	bear
буга	deer
булга	sable
бух	bull
гахай	pig
гөлөг	puppy
гөрөөс	antelope
гүрвэл	lizard
заан	elephant
зараа	hedgehog
зурам	gopher
илжиг	donkey
ирвэс	leopard
ишиг	kid
могой	snake
мэлхий	frog
сармагчин	monkey
сарлаг	yak
тарвага	marmot
торой	piglet
тугал	calf
туулай	hare/rabbit
тэмээ	camel
унага	foal
үнэг	fox
үхэр	cow
үхэр хулгана	rat
халим	whale
хандгай	elk/moose
хонь	sheep
хулгана	mouse
хурга	lamb
хэрэм	squirrel
чоно	wolf
шанаган хорхой	tadpole
шар үхэр	ox
шилүүс	lynx
ямаа	goat
яст мэлхий	turtle/tortoise
аалз	spider
жоом	cockroach
бясаа	bug
зөгий	bee
хачиг	tick
хувалз	tick
царцаа	grasshopper
шоргоолж	ant
цох хорхой	ladybug
шумуул	mosquito
эрвээхэй	butterfly
болжмор	lark/sparrow
бүргэд	eagle
галуу	goose
тахианы дэгдээхэй	chicken
тагтаа	pigeon
тогоруу	crane
тоншуул	woodpecker
тоть	parrot
хараацай	swallow
хөхөө	cuckoo
хун	swan
хэрээ	crow
шаазгай	magpie
шар шувуу	owl
шонхор	falcon
цацагт хяруул	turkey
элээ	vulture
тас	vulture
ятуу	grouse
дэс тоо	ordinal numbers
дүрс	shapes
долоон енцөгт	heptagon
зургаан өнцөгт	hexagon
зууван	oval
конус	cone
куб	cube
мушгиа	spiral
найман өнцөгт	octagon
өнцөг	angle
пирамид	pyramid
таван өнцөгт	pentagon
тэгш өнцөгт	rectangle
хүний бие	parts of the body
алга	palm
ам	mouth
бугуй	wrist
булчин	calf
гарын сарвуу	hand
гуя	thigh
гэдэс	stomach
магнай	forehead
дух	forehead
мэнгэ	birthmark
нуруу	back/spine
нүд	eye
өвдөг	knee
өгзөг	buttocks
өсгий	heel
сормуус	eyelash
суга	armpit
ташаа	hip
тохой	elbow
уруул	lip
хацар	cheek
хөлийн тавхай	foot
хөмсөг	eye brow
хелийн хуруу	toe
хумс	finger nail
хүй	navel
цээж	chest
чих	ear
шагай	ankle
эрүү	chin
эрхий хуруу	thumb
яс	bone
эдлэлийн	jewelry store
бичгийн хэрэгслийн	stationary
гутлын дэлгүүр	shoe store
зоогийн газар	restaurant
их дэлгүүр	department store
ломбард	pawn shop
номындэлгүүр	book store
ногооны мухлаг	vegetable stand
сонины мухлаг	newsstand
спортын барааны	sporting goods store
талхны	bakery
тасаг	department
тооцоо	bill
уран зургийн	art gallery
үйлчилгээний төв	service center
хариулт мөнгө	change
хивсний дэлгүүр	carpet store
хувцасны дэлгүүр	clothing store
худалдааны төв	shopping center
хөгжмийн дэлгүүр	music store
хүнсний дэлгүүр	grocery store
хүнсний зах	supermarket
цайны газар	cafeteria
эмийн сан	drugstore
суурин	town
автобус	bus
автобусны буудал	bus stop
авто зогсоол	parking lot
амьтны хүрээлэн	zoo
барилга	building
байр.сууц	apartment
гудамж	street
дүүрэг	district
кино	movie/film
кино театр	cinema
концерт	concert
музей	museum
өргөн чөлөө	avenue
сүм	church
театр	theater
усан сан	swimming pool
үзэсгэлэн	exhibition
үйлдвэр	factory
хот	n. city, town
хороолол	micro district
хүн ам	population
цэнгэлдэх хүрээлэн	stadium
цагдаагийн газар	police station
цирк	circus
шөнийн клуб	night club
шуудан	post office
эмнэлэг	hospital
эрүүл мэндийн төв	health center
спорт ба тоглоом	sports and games
аварга	champion
алхалт	jogging
ан агнуур	hunting
бильярд	billiards
боулинг	bowling
бокс	boxing
бөхийн барилдаан	wrestling
гар бөмбөг	volleyball
гимнастик	gymnastics
гүйлт	running
дасгалжуулагч	trainer
дугуй уналт	bicycling
морь уналт	horse riding
өрселдөгч	competitor
поло	polo
сагсан бөмбөг	basketball
сур	archery
байт сур	archery
теннис	tennis
тэмцээн	competition
усан сэлэлт	swimming
